,age,sex,underweight,overweight,obese,parents_support,close_friends,students_support,felt_lonely,mean_school_absence,mean_physical_fighting,physically_attacked,cyber_bullied,bullied
73,16.0,0.0,0.0,0.0,0.0,5.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,0
74,14.0,0.0,,,,5.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0
75,16.0,1.0,0.0,0.0,0.0,3.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0
76,15.0,1.0,0.0,0.0,0.0,3.0,3.0,5.0,1.0,0.0,0.0,0.0,0.0,0
77,14.0,1.0,0.0,0.0,0.0,2.0,3.0,2.0,5.0,1.5,0.0,0.0,1.0,1
78,15.0,0.0,0.0,0.0,0.0,1.0,3.0,5.0,5.0,0.0,0.0,0.0,1.0,1
79,17.0,1.0,0.0,0.0,0.0,1.0,3.0,5.0,1.0,0.0,0.0,0.0,0.0,0
80,16.0,0.0,0.0,0.0,0.0,3.0,3.0,4.0,3.0,0.0,0.0,0.0,0.0,0
81,15.0,1.0,0.0,1.0,0.0,1.0,3.0,4.0,3.0,0.0,0.0,0.0,0.0,1
82,17.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,1
83,15.0,1.0,,,,5.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,1
84,15.0,1.0,0.0,1.0,0.0,3.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0,1
85,14.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,,1.0,0.0,1.0,1
86,16.0,0.0,,,,5.0,1.0,4.0,3.0,1.5,0.0,0.0,0.0,1
87,15.0,0.0,0.0,1.0,0.0,2.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,1
88,15.0,1.0,0.0,0.0,0.0,5.0,1.0,3.0,4.0,0.0,0.0,0.0,0.0,1
89,15.0,0.0,,,,1.0,3.0,3.0,4.0,1.5,0.0,0.0,1.0,1
90,16.0,1.0,,,,5.0,2.0,3.0,4.0,0.0,0.0,1.0,0.0,1
91,15.0,1.0,,,,3.0,2.0,3.0,1.0,0.0,1.0,0.0,1.0,1
92,15.0,1.0,,,,2.0,3.0,3.0,3.0,1.5,0.0,0.0,0.0,1
93,15.0,1.0,,,,3.0,,0.0,1.0,0.0,0.0,0.0,0.0,0
94,17.0,0.0,0.0,0.0,0.0,4.0,2.0,3.0,3.0,0.0,1.0,1.0,1.0,1
95,15.0,1.0,,,,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0
96,16.0,1.0,0.0,0.0,0.0,5.0,3.0,3.0,3.0,0.0,1.0,1.0,1.0,1
97,16.0,1.0,,,,5.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0
98,16.0,0.0,0.0,0.0,0.0,4.0,3.0,2.0,3.0,0.0,0.0,0.0,0.0,0
99,16.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,10.0,0.0,0.0,0.0,1
100,15.0,1.0,,,,2.0,2.0,2.0,3.0,0.0,2.5,1.0,0.0,1
101,15.0,1.0,,,,3.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0
102,15.0,1.0,,,,1.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0,0
103,15.0,1.0,,,,1.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0
104,16.0,1.0,,,,5.0,1.0,1.0,1.0,1.5,1.0,0.0,0.0,1
105,17.0,1.0,0.0,0.0,0.0,5.0,2.0,2.0,4.0,7.5,0.0,0.0,0.0,1
106,15.0,1.0,0.0,1.0,1.0,2.0,3.0,3.0,3.0,0.0,0.0,0.0,1.0,1
107,15.0,1.0,,,,4.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0,0
108,16.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,1.0,0.0,0.0,0
109,17.0,1.0,0.0,0.0,0.0,1.0,1.0,3.0,5.0,0.0,2.5,0.0,0.0,1
110,17.0,1.0,0.0,0.0,0.0,1.0,3.0,2.0,4.0,0.0,0.0,0.0,,1
111,16.0,0.0,,,,5.0,3.0,4.0,5.0,0.0,0.0,0.0,0.0,1
112,17.0,0.0,0.0,0.0,0.0,4.0,1.0,3.0,1.0,10.0,1.0,1.0,1.0,1
113,13.0,1.0,0.0,0.0,0.0,3.0,3.0,4.0,2.0,0.0,0.0,0.0,0.0,0
114,12.0,0.0,0.0,1.0,0.0,1.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,1
115,13.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,2.0,0.0,1.0,1.0,0.0,0
116,13.0,0.0,0.0,1.0,0.0,5.0,3.0,5.0,1.0,0.0,0.0,0.0,0.0,1
117,13.0,1.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,1
118,13.0,1.0,0.0,0.0,0.0,5.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0,1
119,14.0,0.0,1.0,0.0,0.0,4.0,3.0,2.0,3.0,0.0,0.0,0.0,0.0,1
120,13.0,0.0,0.0,1.0,1.0,1.0,3.0,4.0,1.0,0.0,4.5,0.0,0.0,1
121,13.0,1.0,0.0,1.0,0.0,5.0,1.0,5.0,4.0,0.0,0.0,0.0,1.0,1
122,13.0,1.0,0.0,1.0,0.0,1.0,1.0,3.0,5.0,1.5,0.0,0.0,1.0,1
123,13.0,0.0,0.0,1.0,0.0,5.0,3.0,4.0,1.0,1.5,1.0,0.0,1.0,1
124,14.0,0.0,0.0,1.0,0.0,2.0,3.0,4.0,1.0,7.5,4.5,0.0,0.0,1
125,13.0,1.0,0.0,0.0,0.0,1.0,2.0,4.0,4.0,0.0,0.0,1.0,1.0,1
126,13.0,0.0,,,,2.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,1
127,13.0,1.0,,,,3.0,3.0,3.0,2.0,0.0,4.5,4.0,0.0,0
128,14.0,1.0,0.0,0.0,0.0,4.0,3.0,3.0,5.0,0.0,1.0,10.0,1.0,1
129,13.0,0.0,0.0,1.0,0.0,3.0,3.0,2.0,1.0,1.5,4.5,0.0,0.0,1
130,13.0,1.0,0.0,0.0,0.0,5.0,3.0,4.0,2.0,0.0,0.0,0.0,0.0,1
131,13.0,1.0,0.0,0.0,0.0,5.0,3.0,3.0,2.0,0.0,0.0,0.0,1.0,1
132,13.0,1.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,0.0,1.0,0.0,1.0,1
133,13.0,0.0,0.0,1.0,0.0,4.0,3.0,4.0,1.0,0.0,6.5,0.0,0.0,1
134,13.0,1.0,,,,5.0,3.0,4.0,3.0,0.0,0.0,0.0,0.0,0
135,14.0,1.0,,,,0.0,1.0,2.0,4.0,0.0,0.0,1.0,1.0,1
136,13.0,0.0,1.0,0.0,0.0,3.0,3.0,3.0,2.0,0.0,2.5,1.0,1.0,1
137,13.0,1.0,0.0,0.0,0.0,2.0,3.0,4.0,3.0,0.0,0.0,0.0,0.0,1
138,13.0,1.0,0.0,0.0,0.0,2.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,1
139,15.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,1
140,14.0,1.0,0.0,0.0,0.0,4.0,3.0,4.0,3.0,0.0,0.0,0.0,0.0,0
141,14.0,0.0,0.0,1.0,1.0,4.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,1
142,14.0,1.0,,,,3.0,3.0,5.0,2.0,0.0,0.0,0.0,0.0,0
143,14.0,0.0,0.0,1.0,0.0,3.0,3.0,5.0,1.0,0.0,0.0,0.0,0.0,1
144,15.0,1.0,0.0,0.0,0.0,5.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,0
145,14.0,0.0,,,,5.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0,0
146,14.0,0.0,0.0,0.0,0.0,4.0,2.0,4.0,1.0,0.0,2.5,0.0,0.0,0
147,14.0,1.0,0.0,0.0,0.0,5.0,3.0,4.0,3.0,0.0,0.0,0.0,0.0,0
148,14.0,1.0,0.0,0.0,0.0,5.0,3.0,4.0,3.0,0.0,0.0,0.0,0.0,0
149,14.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,3.0,4.0,0.0,0.0,0.0,1
150,14.0,0.0,0.0,1.0,0.0,1.0,3.0,4.0,1.0,1.5,0.0,0.0,0.0,1
151,14.0,1.0,0.0,0.0,0.0,1.0,,3.0,3.0,0.0,0.0,0.0,0.0,0
152,15.0,1.0,0.0,0.0,0.0,4.0,3.0,4.0,3.0,1.5,1.0,0.0,0.0,1
153,14.0,1.0,,,,2.0,3.0,5.0,4.0,0.0,0.0,0.0,0.0,1
154,14.0,0.0,0.0,0.0,0.0,3.0,0.0,5.0,3.0,0.0,0.0,1.0,0.0,1
155,14.0,1.0,,,,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0
156,15.0,1.0,,,,2.0,3.0,5.0,3.0,0.0,0.0,0.0,1.0,1
157,14.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,4.0,2.5,0.0,0.0,1
158,13.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,3.0,4.0,0.0,0.0,0.0,1
159,14.0,1.0,,,,5.0,2.0,5.0,3.0,0.0,0.0,0.0,1.0,1
160,14.0,1.0,0.0,0.0,0.0,1.0,3.0,4.0,3.0,0.0,0.0,0.0,0.0,0
161,14.0,1.0,,,,1.0,3.0,3.0,2.0,0.0,0.0,4.0,0.0,0
162,15.0,0.0,0.0,1.0,1.0,2.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,1
163,14.0,0.0,0.0,1.0,1.0,3.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,1
164,14.0,1.0,,,,1.0,3.0,5.0,2.0,0.0,0.0,0.0,0.0,0
165,15.0,1.0,0.0,0.0,0.0,3.0,3.0,4.0,4.0,0.0,0.0,0.0,1.0,1
166,14.0,0.0,0.0,1.0,0.0,3.0,3.0,4.0,1.0,0.0,0.0,0.0,1.0,1
167,15.0,0.0,0.0,1.0,0.0,3.0,3.0,5.0,1.0,0.0,0.0,0.0,0.0,1
168,14.0,0.0,0.0,1.0,0.0,3.0,3.0,4.0,2.0,0.0,0.0,0.0,1.0,1
169,14.0,0.0,0.0,0.0,0.0,1.0,3.0,5.0,2.0,0.0,0.0,0.0,0.0,0
170,15.0,1.0,0.0,1.0,0.0,5.0,2.0,4.0,4.0,0.0,0.0,0.0,0.0,1
171,15.0,1.0,0.0,1.0,0.0,1.0,3.0,5.0,4.0,0.0,1.0,0.0,0.0,1
172,15.0,1.0,0.0,0.0,0.0,4.0,3.0,5.0,4.0,0.0,0.0,0.0,0.0,1
173,15.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,4.0,1.5,2.5,0.0,1.0,1
174,15.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,5.0,0.0,0.0,2.0,1.0,1
175,15.0,1.0,0.0,0.0,0.0,2.0,,4.0,4.0,0.0,0.0,0.0,1.0,1
176,15.0,1.0,0.0,0.0,0.0,2.0,3.0,4.0,3.0,0.0,0.0,0.0,0.0,1
177,15.0,0.0,0.0,0.0,0.0,5.0,3.0,4.0,2.0,7.5,1.0,2.0,0.0,1
178,15.0,1.0,0.0,1.0,0.0,2.0,2.0,3.0,4.0,0.0,0.0,0.0,0.0,1
179,15.0,0.0,,,,5.0,3.0,5.0,1.0,0.0,0.0,0.0,0.0,0
180,15.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,5.0,0.0,1.0,0.0,0.0,1
181,15.0,0.0,0.0,1.0,1.0,1.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,1
182,15.0,1.0,,,,4.0,1.0,5.0,4.0,0.0,1.0,0.0,1.0,1
183,15.0,,,,,2.0,3.0,2.0,4.0,0.0,1.0,0.0,1.0,1
184,15.0,0.0,0.0,0.0,0.0,2.0,3.0,5.0,2.0,0.0,0.0,0.0,0.0,0
185,15.0,1.0,0.0,0.0,0.0,5.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,1
186,15.0,1.0,0.0,1.0,0.0,4.0,3.0,4.0,3.0,0.0,4.5,2.0,0.0,1
187,15.0,1.0,0.0,0.0,0.0,5.0,2.0,3.0,3.0,0.0,2.5,4.0,0.0,1
188,15.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,3.0,0.0,4.5,2.0,0.0,1
189,16.0,0.0,0.0,0.0,0.0,5.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,1
190,15.0,1.0,0.0,0.0,0.0,2.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,1
191,15.0,1.0,0.0,0.0,0.0,3.0,3.0,4.0,3.0,7.5,0.0,0.0,0.0,1
192,15.0,1.0,0.0,1.0,1.0,4.0,3.0,4.0,2.0,0.0,0.0,0.0,0.0,1
193,16.0,1.0,0.0,1.0,1.0,2.0,3.0,4.0,3.0,0.0,0.0,0.0,1.0,1
194,15.0,0.0,0.0,0.0,0.0,3.0,1.0,4.0,2.0,0.0,0.0,0.0,1.0,1
195,15.0,1.0,0.0,0.0,0.0,2.0,3.0,4.0,3.0,0.0,0.0,0.0,1.0,1
196,15.0,1.0,0.0,1.0,0.0,1.0,3.0,2.0,3.0,1.5,4.5,4.0,1.0,1
197,16.0,1.0,,,,0.0,3.0,4.0,4.0,0.0,0.0,0.0,1.0,1
198,15.0,1.0,,,,5.0,3.0,5.0,1.0,0.0,0.0,0.0,0.0,0
199,16.0,1.0,0.0,1.0,0.0,5.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,1
200,16.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,0.0,0.0,0.0,1.0,1
201,16.0,1.0,0.0,1.0,1.0,1.0,3.0,5.0,3.0,0.0,0.0,0.0,1.0,1
202,16.0,1.0,,,,3.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0
203,16.0,0.0,0.0,0.0,0.0,3.0,,5.0,2.0,0.0,1.0,0.0,0.0,0
204,16.0,1.0,0.0,0.0,0.0,2.0,1.0,4.0,3.0,1.5,0.0,0.0,0.0,1
205,17.0,1.0,0.0,0.0,0.0,5.0,3.0,5.0,1.0,0.0,0.0,0.0,0.0,1
206,16.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,0
207,16.0,0.0,0.0,0.0,0.0,4.0,2.0,4.0,2.0,0.0,0.0,0.0,1.0,1
208,17.0,1.0,,,,4.0,3.0,4.0,3.0,4.0,0.0,0.0,0.0,1
209,17.0,,,,,5.0,3.0,3.0,1.0,1.5,0.0,0.0,0.0,1
210,16.0,1.0,0.0,0.0,0.0,5.0,3.0,4.0,2.0,1.5,0.0,0.0,1.0,1
211,16.0,1.0,,,,5.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,0
212,16.0,1.0,,,,3.0,1.0,2.0,4.0,1.5,2.5,0.0,1.0,1
213,16.0,1.0,,,,5.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,0
214,17.0,0.0,0.0,1.0,0.0,2.0,3.0,5.0,3.0,1.5,0.0,12.0,1.0,1
215,17.0,0.0,0.0,0.0,0.0,3.0,3.0,4.0,2.0,0.0,0.0,0.0,0.0,0
216,17.0,0.0,0.0,0.0,0.0,2.0,3.0,5.0,1.0,0.0,0.0,0.0,0.0,0
217,16.0,0.0,0.0,1.0,1.0,1.0,3.0,5.0,3.0,0.0,0.0,0.0,1.0,1
218,16.0,0.0,0.0,0.0,0.0,3.0,2.0,4.0,3.0,1.5,10.5,12.0,1.0,1
219,16.0,1.0,0.0,0.0,0.0,3.0,2.0,3.0,3.0,4.0,1.0,1.0,0.0,1
220,13.0,0.0,,,,4.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,1
221,13.0,1.0,,,,2.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0
222,14.0,1.0,0.0,1.0,0.0,1.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,1
223,13.0,1.0,0.0,0.0,0.0,1.0,3.0,4.0,3.0,0.0,0.0,0.0,0.0,0
224,13.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,2.0,1.5,1.0,0.0,0.0,1
225,13.0,1.0,0.0,0.0,0.0,3.0,3.0,4.0,1.0,0.0,0.0,0.0,1.0,1
226,13.0,1.0,0.0,0.0,0.0,4.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0
227,13.0,1.0,,,,4.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0,0
228,13.0,1.0,0.0,0.0,0.0,1.0,3.0,4.0,3.0,0.0,0.0,0.0,1.0,1
229,13.0,0.0,,,,5.0,3.0,5.0,1.0,0.0,0.0,0.0,0.0,0
230,13.0,1.0,,,,2.0,3.0,5.0,1.0,0.0,0.0,0.0,0.0,0
231,14.0,1.0,,,,4.0,3.0,4.0,2.0,0.0,0.0,0.0,0.0,0
232,13.0,0.0,0.0,1.0,0.0,5.0,3.0,4.0,1.0,0.0,1.0,0.0,1.0,1
233,14.0,1.0,,,,1.0,3.0,2.0,3.0,0.0,0.0,1.0,1.0,1
234,13.0,1.0,,,,4.0,3.0,4.0,2.0,0.0,0.0,0.0,0.0,0
235,13.0,1.0,0.0,0.0,0.0,4.0,3.0,5.0,2.0,0.0,0.0,0.0,0.0,0
236,14.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,1
237,13.0,1.0,0.0,1.0,0.0,5.0,3.0,5.0,5.0,0.0,0.0,0.0,0.0,1
238,13.0,1.0,0.0,1.0,0.0,2.0,3.0,3.0,1.0,,0.0,0.0,1.0,1
239,13.0,1.0,0.0,0.0,0.0,4.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0
240,13.0,0.0,0.0,0.0,0.0,4.0,3.0,4.0,1.0,1.5,2.5,0.0,1.0,1
241,13.0,1.0,0.0,0.0,0.0,2.0,2.0,5.0,3.0,0.0,0.0,0.0,0.0,0
242,13.0,1.0,0.0,0.0,0.0,4.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,1
243,12.0,1.0,0.0,1.0,0.0,4.0,2.0,3.0,4.0,0.0,0.0,0.0,0.0,1
244,13.0,1.0,0.0,1.0,0.0,3.0,2.0,3.0,2.0,,0.0,2.0,1.0,1
245,13.0,1.0,,,,1.0,3.0,4.0,2.0,0.0,0.0,1.0,0.0,1
246,13.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,1.0,1.5,0.0,0.0,1.0,1
247,13.0,1.0,,,,4.0,3.0,5.0,3.0,0.0,0.0,0.0,0.0,0
248,13.0,1.0,0.0,0.0,0.0,0.0,3.0,5.0,1.0,0.0,0.0,0.0,0.0,0
249,13.0,1.0,,,,4.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,1
250,13.0,1.0,0.0,1.0,0.0,1.0,3.0,4.0,2.0,0.0,0.0,1.0,1.0,1
251,14.0,0.0,0.0,1.0,0.0,2.0,3.0,4.0,2.0,1.5,2.5,0.0,0.0,1
252,13.0,0.0,,,,5.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,1
253,13.0,1.0,,,,1.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0
254,13.0,1.0,,,,1.0,3.0,2.0,3.0,0.0,0.0,0.0,0.0,1
255,13.0,1.0,,,,3.0,2.0,5.0,2.0,0.0,0.0,0.0,0.0,0
256,13.0,1.0,1.0,0.0,0.0,3.0,0.0,2.0,5.0,0.0,0.0,1.0,0.0,1
257,13.0,1.0,,,,2.0,3.0,1.0,3.0,0.0,0.0,0.0,1.0,1
258,13.0,1.0,,,,1.0,3.0,3.0,1.0,0.0,1.0,0.0,0.0,1
259,13.0,0.0,0.0,0.0,0.0,5.0,3.0,3.0,3.0,1.5,1.0,1.0,1.0,1
260,13.0,1.0,0.0,0.0,0.0,1.0,3.0,4.0,2.0,0.0,0.0,0.0,0.0,0
261,13.0,1.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,1.5,2.5,2.0,0.0,1
262,13.0,0.0,0.0,1.0,1.0,3.0,0.0,2.0,3.0,1.5,0.0,0.0,1.0,1
